"Periodo","cvegeo","Entidad_federativa","Proporción_de_la_población_que_vive_por_debajo_del_umbral_internacional_de_la_pobreza_(1.90_dólares_diarios),_por_desglose_geográfico",
"2020",	00,"Estados Unidos Mexicanos","NA",
"2020",	01,"Aguascalientes","1.45566644025289 a/ ",
"2020",	02,"Baja California","0.969489260667976 b/ ",
"2020",	03,"Baja California Sur","1.69246334952086 a/ ",
"2020",	04,"Campeche","4.17844047543897 a/ ",
"2020",	05,"Coahuila de Zaragoza","1.1337932853068 a/ ",
"2020",	06,"Colima","1.085196799146 a/ ",
"2020",	07,"Chiapas","12.2978812814612",
"2020",	08,"Chihuahua","1.54032288916944 a/ ",
"2020",	09,"Ciudad de México","1.6898281115472 a/ ",
"2020",	10,"Durango","2.23480211275831 b/ ",
"2020",	11,"Guanajuato","1.55049951613936 a/ ",
"2020",	12,"Guerrero","8.37797495273571",
"2020",	13,"Hidalgo","2.00544410070552 b/ ",
"2020",	14,"Jalisco","0.279556236386187 b/ ",
"2020",	15,"México","2.37062001276989",
"2020",	16,"Michoacán de Ocampo","1.72551324835551 a/ ",
"2020",	17,"Morelos","2.69342276322788 a/ ",
"2020",	18,"Nayarit","2.40451771575662 a/ ",
"2020",	19,"Nuevo León","0.876700821106658 a/ ",
"2020",	20,"Oaxaca","6.88191610973057",
"2020",	21,"Puebla","4.50775624761251",
"2020",	22,"Querétaro","1.04502533875452",
"2020",	23,"Quintana Roo","4.77273005242707",
"2020",	24,"San Luis Potosí","3.82727801183993",
"2020",	25,"Sinaloa","0.660033675590063 b/ ",
"2020",	26,"Sonora","1.35553070797241 a/ ",
"2020",	27,"Tabasco","4.18836377966054 a/ ",
"2020",	28,"Tamaulipas","1.63515045349422 a/ ",
"2020",	29,"Tlaxcala","3.31632653061224",
"2020",	30,"Veracruz de Ignacio de la Llave","3.36686095578401",
"2020",	31,"Yucatán","2.48108121052884",
"2020",	32,"Zacatecas","1.8733198306021 a/ ",
"2018",	00,"Estados Unidos Mexicanos","NA",
"2018",	01,"Aguascalientes","0.493075542317586 b/ ",
"2018",	02,"Baja California","0.613408021625015 b/ ",
"2018",	03,"Baja California Sur","0.344471508186125 b/ ",
"2018",	04,"Campeche","2.89806155695945 a/ ",
"2018",	05,"Coahuila de Zaragoza","0.951809891112135 a/ ",
"2018",	06,"Colima","0.840953523412628 a/ ",
"2018",	07,"Chiapas","13.4362264422234",
"2018",	08,"Chihuahua","1.28074308955234 a/ ",
"2018",	09,"Ciudad de México","0.37468484477715 b/ ",
"2018",	10,"Durango","1.40437217370519 a/ ",
"2018",	11,"Guanajuato","1.10911296648408 a/ ",
"2018",	12,"Guerrero","12.1610662569776",
"2018",	13,"Hidalgo","1.97484499161193 a/ ",
"2018",	14,"Jalisco","0.441804343339043 b/ ",
"2018",	15,"México","0.60122978117548 a/ ",
"2018",	16,"Michoacán de Ocampo","1.31709610880503 b/ ",
"2018",	17,"Morelos","1.89737766236836 a/ ",
"2018",	18,"Nayarit","2.66679650548105 b/ ",
"2018",	19,"Nuevo León","0.591665324795275 b/ ",
"2018",	20,"Oaxaca","8.79546774027542",
"2018",	21,"Puebla","2.19157637924439 a/ ",
"2018",	22,"Querétaro","0.457138170208273 b/ ",
"2018",	23,"Quintana Roo","0.822257993392096 a/ ",
"2018",	24,"San Luis Potosí","2.45379868008457 a/ ",
"2018",	25,"Sinaloa","0.636508183485846 b/ ",
"2018",	26,"Sonora","0.77022371065708 a/ ",
"2018",	27,"Tabasco","2.43981202432288 a/ ",
"2018",	28,"Tamaulipas","1.64199042795617 b/ ",
"2018",	29,"Tlaxcala","0.789418012129091 b/ ",
"2018",	30,"Veracruz de Ignacio de la Llave","4.60888398689559",
"2018",	31,"Yucatán","1.35649868033135 b/ ",
"2018",	32,"Zacatecas","2.11912117815066",
"2016",	00,"Estados Unidos Mexicanos","NA",
"2016",	01,"Aguascalientes","0.781003920199463 b/ ",
"2016",	02,"Baja California","0.632736456907552 b/ ",
"2016",	03,"Baja California Sur","0.666112841813776 b/ ",
"2016",	04,"Campeche","1.87778039568807 a/ ",
"2016",	05,"Coahuila de Zaragoza","0.91570246368212 b/ ",
"2016",	06,"Colima","0.670735979387487 b/ ",
"2016",	07,"Chiapas","16.0249893699831",
"2016",	08,"Chihuahua","1.87164332848326 a/ ",
"2016",	09,"Ciudad de México","0.596751357840411 b/ ",
"2016",	10,"Durango","1.81893599443281 a/ ",
"2016",	11,"Guanajuato","1.82698328791378 a/ ",
"2016",	12,"Guerrero","8.83702495157273 a/ ",
"2016",	13,"Hidalgo","3.48620998647392 a/ ",
"2016",	14,"Jalisco","0.641036185501314 b/ ",
"2016",	15,"México","1.07164476029324 b/ ",
"2016",	16,"Michoacán de Ocampo","3.29505479792006 a/ ",
"2016",	17,"Morelos","0.448590364546224 b/ ",
"2016",	18,"Nayarit","3.98909463452632 b/ ",
"2016",	19,"Nuevo León","0.400869138211591 b/ ",
"2016",	20,"Oaxaca","9.91502118529848 a/ ",
"2016",	21,"Puebla","1.84527569274954 a/ ",
"2016",	22,"Querétaro","0.951680047783409 a/ ",
"2016",	23,"Quintana Roo","1.10997601387853 b/ ",
"2016",	24,"San Luis Potosí","2.42283397540964 a/ ",
"2016",	25,"Sinaloa","1.05930697732145 b/ ",
"2016",	26,"Sonora","0.350953940636035 b/ ",
"2016",	27,"Tabasco","2.54729093921681 a/ ",
"2016",	28,"Tamaulipas","1.05264848449454 a/ ",
"2016",	29,"Tlaxcala","1.48780971133975 a/ ",
"2016",	30,"Veracruz de Ignacio de la Llave","4.16883955764062 a/ ",
"2016",	31,"Yucatán","1.23389697833055 b/ ",
"2016",	32,"Zacatecas","4.32771636229996",
